"","Family Size","Males","Females","Natives","Not Natives","Male Occupation","Female Occupation","Born.slaves","Can.read","Can.write"
"1347",2,1,1,0,2,"waiter $6m","washer",0,1,1
"1348",5,2,3,1,4,"laborer ","1 washer 1 cook",0,3,1
"1352",2,1,1,0,2,"lablorer","days work",0,1,0
"1353",6,4,2,1,5,"laborer","days work",0,0,0
"1356",0,2,1,1,1,"shoemaker","dom. duties",0,1,1
"1357",5,2,3,3,2,"1 porter 1 barber","2 sempstresses",0,4,4
"1359",3,1,2,3,0,"barber","sempstress",0,3,2
"1360",5,4,1,1,4,"1 porter 2 musicians 1 private teacher","dress maker",0,5,5
"1361",5,4,1,2,3,"2 oyster house","dom. duties",1,5,4
"1362",3,1,2,3,0,"showmaker","days work",0,2,1
"1365",2,1,1,0,1,"seaman","days work",0,1,1
"1366",2,1,1,0,2,"puts in coal","washer",0,2,1
"1368",7,2,5,5,2,"painter & glazier","washer",0,6,6
"1370",6,4,2,4,2,"1 gentleman 1 wood sawyer","cook",1,5,3
"1371",6,2,4,1,5,"musician","washer",1,4,3
"1372",3,1,2,3,0,"coachman","days work",0,3,3
"1373",6,2,4,5,1,"musician","dom. duties",0,2,2
"1377",4,1,3,3,1,"hod carrier","1 washer 1 dressm. & millinier",1,3,2
"1378",4,1,3,3,1,"porter","washer",1,3,2
"1379",3,1,2,1,2,"Seaman $20m","washer",0,2,2
"1380",3,1,2,0,3,"seaman $20m","washer",0,2,0
"1381",3,2,1,0,3,"porter","1 days work 1 sempstress",0,1,1
"1383",8,2,6,8,0,"waiter","1 dom.duties 1 days work 1 eating house",0,7,7
"1384",10,4,6,3,7,"1 lab. 1 engineer","2 various",0,7,6
"1385",2,1,1,1,1,"porter","dress maker",0,1,1
"1386",2,1,1,1,1,"carpenter when able","dom. duties",1,0,0
"1387",2,1,1,0,2,"laborer","washer",0,2,1
"1388",5,1,4,0,5,"dealer","1 washer 1 dressmaker",1,5,3
"1390",4,1,3,2,2,"waiter","washer",0,2,1
"1393",8,3,5,3,5,"waiter when able","1 washer 1 dressmaker",2,7,6
"1394",3,1,2,0,3,"laborer","washer",0,3,0
"1395",8,4,4,7,1,"laborer $35.00w","dom. duties",0,4,2
"1396",2,1,1,0,2,"w. washer $500:-year","sempstress",0,1,1
"1397",5,2,3,3,2,"w. washer","days work",0,1,1
"1398",2,1,1,0,2,"coachman","days work",0,1,1
"1399",2,1,1,0,2,"waiter $20m.","dom. duties",2,2,1
"1400",6,3,3,4,2,"1 porter 1 waiter","washer",0,6,2
"1401",3,2,1,1,2,"porter","cook",2,2,0
"1406",9,3,4,8,0,"1 waiter 2 seamen","1 not well 1 assists at home",0,3,3
"1407",6,2,4,1,5,"drives cart $6w","washer",1,5,2
"1408",4,1,3,0,4,"oyster house","washer",1,1,0
"1410",4,2,2,4,0,"coachman $16m","dress maker when able",0,2,2
"1412",4,2,2,3,1,"coachman $14m","dom. duties",0,1,1
"1415",2,1,1,0,2,"carpenter","dom. duties",2,1,1
"1416",4,1,3,0,4,"traeling preacher","2 washers",1,4,1
"1418",5,3,2,1,4,"laborer"," not able",0,4,1
"1419",3,2,1,1,2,"porter","days work",0,2,0
"1420",2,1,1,0,2,"drives cart $6w","w. washer",1,2,0
"1421",2,1,1,2,0,"porter $6w","dom. duties",0,2,1
"1422",6,3,3,3,3,"waiter $15m","washers",1,3,2
"1423",5,2,3,3,2,"coachman $16m","1 days work 1 not able",2,3,2
"1425",3,1,2,1,2,"seaman","washers",0,2,2
"1426",3,2,1,1,2,"waiter","cook $2.00w",2,3,3
"1427",2,1,1,1,1,"waiter $10m","days work",0,2,0
"1429",2,1,1,0,2,"waiter","washer",0,1,1
"1431",2,1,1,0,2,"waiter $12m","days work",0,2,2
"1432",2,1,1,1,1,"porter","washer",0,2,2
"1433",6,4,2,5,1,"coachman $17m","dom. duties",0,3,1
"1434",3,2,1,2,1,"laborer $5w","dom. duties",0,2,1
"1435",3,1,2,1,2,"dyer& scouner?","assists husband",1,2,2
"1436",3,1,2,0,3,"waiter $18m","washer",1,3,2
"1439",9,3,6,0,9,"putting in coal","12 sempstress 1 not able",0,2,1
"1441",4,3,1,2,2,"painter & glaizier","washer",1,3,1
"1444",4,2,2,1,3,"raises hogs","washer",1,2,0
"1445",5,2,3,22,0,"1 wood sawyer 1 laborer","1 days work 1 not able",1,3,2
"1446",3,1,2,2,1,"porter","2 washers",1,2,0
"1447",5,1,4,4,1,"labors on farm","2 days work",0,3,0
"1448",7,2,5,3,4,"not able","washer",1,1,1
"1451",5,3,2,3,2,"2 various 1 not able","dom. duties",1,3,2
"1456",3,2,1,1,2,"waiter $13m","washer",0,1,1
"1457",3,1,2,2,1,"seaman $20m","various",0,1,0
"1458",2,1,1,1,1,"coachman $14m","washer",0,2,2
"1459",3,1,2,0,3,"waiter $14m","1 washer 1 not able",0,2,2
"1460",7,3,4,4,3,"waiter","1 days work",0,4,2
"1462",7,5,2,2,5,"2 porters $11w 1 laborer 1 waterman 1 not able","2 washers",1,7,4
"1463",7,2,5,3,4,"1 waiter 1 porter","washer sempstress",0,6,2
"1464",5,3,2,4,1,"carter his own","washer",0,3,1
"1465",2,1,1,0,2,"wood sawyer","days work",0,1,0
"1466",4,2,2,0,4,"laborer $8w","days work",0,2,0
"1467",4,2,2,1,3,"1 barber 1 not able","1 washer 1 not able",2,3,3
"1469",5,2,3,4,1,"1 lab. 1 past labor","washer",0,1,1
"1470",5,3,2,4,1,"porter $4w","washer",1,0,0
"1471",5,2,3,1,4,"porter","2 washers",4,1,0
"1472",7,3,4,5,2,"porter $5w","days work",2,5,4
"1473",6,1,5,0,6,"seaman","2 very little-afflicted",1,0,0
"1475",4,1,3,3,1,"porter $6.50w","washer",1,3,2
"1476",2,1,1,0,2,"boot cleaner","days work",0,0,0
"1477",3,1,2,2,1,"laborer","1 days work 1 cuts carpet rags",1,2,0
"1478",4,2,2,1,2,"1 puts in coal 1 seaman","days work",0,0,0
"1479",7,6,1,3,4,"1 hod carrier 1 porter","washer",0,2,1
"1480",5,3,2,4,1,"laborer $3w","washer",1,1,0
"1483",4,2,2,2,2,"waiter","days work",0,4,2
"1484",6,2,4,5,1,"1 drives furniture car 1 drives cart","white washer",0,6,6
"1486",2,1,1,0,2,"past work","1 days work when able",2,1,1
"1487",2,1,11,0,2,"porter","1 days work when able",0,1,1
"1488",3,2,1,2,1,"1 barber 1 waiter","washer",1,2,2
"1490",6,2,4,4,2,"wood sawyer","washer",0,2,0
"1491",2,1,1,0,2,"hod carrier","washer",1,1,0
"1492",6,2,4,3,3,"matt maker","1 washer 1 w. washer",2,2,0
"1493",3,1,2,1,2,"hod carrier","w. washer when able",1,3,1
"1495",5,1,4,5,0,"shoemaker","days work",0,1,1
"1498",5,1,4,1,4,"seaman $16m.","days work",1,3,1
"1500",5,2,3,3,2,"lab.","3 days work",0,3,1
"1503",5,2,3,5,0,"stevedore","1 washer",0,4,4
"1505",7,4,3,2,5,"barber $1800:-year","2 dom. duties",1,7,5
"1506",5,2,3,3,2,"1 wasiter $13.00m 1 waiter $10.00m","2 sempstresses",0,5,4
"1507",2,1,1,1,1,"laborer $4.50w","washer when able",0,2,1
"1508",3,2,1,0,3,"1 waiter 1 lab. on farm","service $1.50w",0,0,0
"1510",2,1,1,1,1,"waiter $11m.","washer",0,2,1
"1512",9,3,6,8,1,"drives cart $4.50w","1 days work 1 sempstress",0,9,8
"1513",4,2,2,2,2,"2 barbers ab. $1400:- year","dom. duties",0,3,3
"1516",6,2,4,4,2,"Steward","dom. duties",0,4,1
"1517",6,3,3,0,6,"2 porters 1 seaman","1 washer when able 1 sempstress",1,4,3
"1518",4,2,2,2,2,"oyster house","2 assist in oyster house",0,4,4
"1519",7,2,5,7,0,"barber","2 days work 1 sempstress",0,5,2
"1520",4,2,2,2,2,"porter","days work when can get it",2,2,1
"1522",7,3,4,2,5,"1 clock printer by trade","2 dom. duties",0,6,6
"1523",4,2,2,3,1,"1 dyer & scourer 1 dentist","1 school teacher 1 dressmaker",1,4,4
"1524",4,2,2,1,3,"2 waiters","1 washer 1 sempstress",0,4,3
"1526",3,2,1,1,2,"2 clothes dealers","washer",0,3,3
"1527",2,1,1,0,2,"waterman $20m","days work",0,0,0
"1528",7,4,3,5,2,"1 coachman 1 cake seller","washer",0,4,2
"1530",10,6,4,9,1,"hod carrier","days work",1,5,3
"1531",4,2,2,4,0,"currier $6w","1 washer 1 shirt maker",0,4,3
"1532",6,4,2,5,1,"wasiter $15.00m","dom. duties",0,4,4
"1533",8,4,4,7,1,"1 oysterman 1 waiter $12m","1 washer 1 dressmaker",0,6,6
"1535",2,1,1,2,0,"shoemaker","washer",0,2,2
"1537",6,2,4,3,3,"waiter $12m","washer",0,3,0
"1538",2,1,1,0,0,"eating stand in market","assists husband",0,2,0
"1539",9,4,5,2,0,"3 waiters","1 cook 1 not able",2,7,5
"1540",4,2,2,3,1,"coachman $16m","washer",1,1,0
"1543",8,4,4,7,1,"laborer","days work",1,4,2
"1544",4,3,1,2,2,"porter $6w","days work",0,2,1
"1545",2,1,1,1,1,"porter $5w","washer",0,2,1
"1546",4,2,2,1,3,"coachman $15m","washer",0,2,0
"1547",3,2,1,0,3,"wood sawyer","days work",0,2,1
"1548",9,2,7,7,2,"2 barbers","dress maker",0,5,3
"1551",3,1,2,2,1,"waiter $18m","washer",0,2,2
"1552",4,2,2,3,1,"1 coachman 1 shoemaker","dom.duties",0,4,4
"1553",4,2,2,2,2,"porter","washer",0,4,2
"1554",4,2,2,2,2,"laborer","washer",0,3,2
"1555",6,2,4,0,6,"1 wood sawyer 1 waiter $10m","2 washers 2 not able",3,3,1
"1556",4,1,3,1,3,"coachman $15m","washer",0,2,2
"1558",3,1,2,1,2,"coachman $15m","1 dom. duties 1 dressm.",0,2,1
"1559",7,3,4,6,1,"2 boot cleaners","washer",0,6,6
"1561",6,2,4,6,0,"barber","dom. duties",0,3,3
"1562",3,2,1,2,1,"1 barber 1 porter","washer",0,3,2
"1563",3,1,2,1,2,"porter","2 washers",0,2,1
"1565",2,1,1,1,2,"sexton $75y.","washer",0,2,1
"1566",2,1,1,0,2,"coachman","washer when can get it",2,1,0
"1567",4,3,1,0,4,"1 seaman 2 laborers","days work",0,3,2
"1571",6,4,2,3,3,"1 porter 1 seaman","sempstress",0,1,1
"1572",4,1,3,0,4,"stevedore","washer",0,3,0
"1573",4,1,3,2,2,"tanner & currier","washer",1,3,0
"1576",2,1,1,1,1,"barber","dressmaker",0,2,2
"1577",3,2,1,1,2,"hod carrier","washer when can get it",0,1,1
"1578",4,2,2,1,3,"poter","days work",1,3,3
"1579",4,2,2,4,0,"tailor","days work",0,2,1
"1582",8,2,6,7,1,"waiter","days work",0,4,1
"1583",4,1,3,2,2,"carter his own","1 washer 1 sempstress",0,1,1
"1584",3,2,1,2,1,"1 barber 1 laborer","dom. duties",0,3,3
"1585",8,3,5,6,2,"1 barber 1 hod carrier","days work",0,5,1
"1586",3,1,2,1,2,"porter","washer",0,2,1
"1587",3,1,2,1,1,"waiter","shop keeper",1,3,1
"1588",2,1,1,0,2,"not able","days work",1,2,0
"1592",3,1,2,1,2,"waiter","washer",0,2,1
"1593",3,2,1,1,2,"laborer","washer when able",1,1,0
"1596",10,2,8,8,2,"porter","washer when able",0,7,1
"1597",4,1,3,3,1,"lumber merchant","3 dom. duties",1,3,3
"1598",7,3,4,1,6,"2 porter 1 waterman","2 washers 1 dressmaker",2,3,3
"1599",5,2,3,4,1,"porter $5w","washer",0,4,4
"1600",3,2,1,2,1,"funiture cart his own","washer",0,3,2
"1601",2,1,1,1,1,"very little","washer",0,2,1
"1602",4,1,3,2,2,"Stevedore","days work when can get it",0,2,1
"1604",8,3,5,7,1,"cake selle","dom. duties",0,3,2
"1605",3,1,2,3,0,"waiter","dressmaker",0,2,2
"1606",3,2,1,1,2,"barber","washer",0,2,2
"1607",2,1,1,2,0,"clothes dealer"," milliner",0,2,2
"1610",7,2,3,5,2,"clothes dealer","dom. duties",0,5,5
"1611",3,1,2,0,3,"waiter $10m","days work",0,2,1
"1612",4,3,1,1,3,"1 sailm. 2 boot makers","days work",0,4,4
"1613",4,1,3,1,3,"porter","washer",0,1,0
"1615",5,3,2,5,0,"1 ivory turner 1 steward 1 boot maker","dressmaker",0,5,5
"1616",2,1,1,2,0,"shoemaker","hair(?) dressmaker",0,2,2
"1619",2,1,1,0,2,"various","days work when can get it",0,2,1
"1621",7,3,4,6,1,"1 coachman 1 sailmaker","1 dressm.1 fortune teller 1 dom. duties",0,6,5
"1624",7,3,4,6,1,"waiter $14m","washer",0,3,1
"1626",4,2,3,3,1,"waiter $10m","days work",0,2,1
"1629",2,1,1,0,2,"stevedore","cuts carpet rags",2,1,1
"1630",4,2,2,2,2,"2 porters","washer",1,4,1
"1631",4,2,2,3,1,"porter","cook",0,2,2
"1632",3,2,1,1,2,"hod carrier","days work",0,2,0
"1633",4,1,3,0,4,"porter","dom. duties",3,1,0
"1634",5,1,4,2,4,"wood sawyer","2 days work",1,2,0
"1635",5,2,3,2,1,"waiter","washer",0,3,1
"1636",8,5,3,3,5,"2 waiter $10 & 15m","2 washes",1,7,7
"1637",8,2,6,6,2,"bisquit baker $7.00w","2 white washers",1,5,4
"1638",8,4,4,8,0,"1 seaman 1 waiter","1 washer",1,3,3
"1639",7,3,4,6,1,"1 porter 1 boatman","2 dress makers",0,7,7
"1640",8,5,3,3,4,"1 laborer $6.w 1 boxman $5.00 2 seaman $14 & 18m","1 quilter",0,8,7
"1641",6,3,3,5,1,"cabinet m. & undertaker","1 bonnetmaker 1 dom. duties",0,3,3
"1642",5,2,3,0,1,"shoemaker","dom. duties",0,2,2
"1644",2,1,1,0,2,"porter","washer",2,1,0
"1645",4,3,1,1,3,"carter-his own","washer",0,2,0
"1646",3,2,1,0,3,"1 shoem. 1 not able","dom. duties",1,2,1
"1647",6,3,3,5,1,"carpenter","dom. duties",0,3,3
"1649",8,2,6,8,0,"1 dyer $6w. 1 boxman $5w.","dom. duties",0,5,3
"1650",4,3,1,3,1,"1 waiter 1 barber","shop keeper",0,3,2
"1651",6,5,1,4,2,"1 oyster house 1 coachman","dom. duties",0,4,2
"1652",7,4,3,4,3,"shoemaker","1 washer 1 not able",1,5,2
"1655",2,1,1,0,2,"white washer","days work",0,1,1
"1657",4,2,2,1,3,"2 cake sellers","cake baker",1,3,2
"1659",2,1,1,0,2,"waiter","quilter",1,1,1
"1661",4,2,2,0,4,"2 laborers","1 cook",2,0,0
"1662",0,2,1,0,2,"drives cart","washer",0,1,0
"1665",9,5,4,5,4,"boot & shoemaker","dom. duties",0,8,6
"1666",4,3,1,4,0,"2 waiters $10m each 1 coachman $22m","washer & shop keeper",4,1,1
"1667",6,3,3,3,3,"carpenter","dress maker",0,3,5
"1668",7,2,5,6,1,"2 waiters","1 shirtm. 1 dressm. 1 washer",0,7,7
"1669",5,3,2,5,0,"waiter","washer",0,2,2
"1670",3,1,2,2,1,"waiter","2 washers",0,3,2
"1671",3,2,1,1,2,"barber","sempstress",0,3,2
"1675",4,42,2,2,2,"1 waiter 1 barber","1 pastry cook 1 shirt maker",1,4,4
"1677",5,4,1,2,3,"1 porter 1 boot maker","washer",0,3,2
"1680",4,2,1,0,4,"barber","1 washer 1 sempstress",0,3,2
"1681",5,2,3,4,1,"various","washer",0,1,1
"1682",2,1,1,0,2,"waiter","washer",0,1,0
"1683",4,2,2,2,2,"porter $5w","washer",0,3,0
"1686",8,5,3,2,6,"1 turner & carver 1 tailor 2 waiters","1 dressm. & tailoress 2 dom. duties",0,7,7
"1688",2,1,1,0,2,"waiter","sempstress",0,2,2
"1689",6,1,5,4,2,"boot maker","1 cook 3 dress makers",0,4,4
"1690",12,6,6,9,3,"1 waiter 1 various","2 washers 1 dom. duties",0,5,4
"1693",4,1,3,3,1,"waiter $12m","1 washer 1 dress maker",0,2,2
"1694",8,3,5,0,8,"3 waiters","2 washers",0,4,0
"1695",9,5,4,2,7,"1 waiter 1 laborer","2 washer 1 not able",3,4,3
"1696",3,1,2,1,2,"janitor $23m","washer",0,3,3
"1697",3,1,2,1,2,"putting in coal","washer",0,2,1
"1698",9,5,4,7,2,"waiter $10m","washer",0,4,4
"1700",4,1,3,4,0,"waiter $10m","cook",0,1,0
"1701",3,12,1,1,2,"seaman $16m","washer",1,0,0
"1702",3,2,1,2,1,"various","washer",0,2,0
"1704",2,1,1,0,2,"various","washer",1,1,1
"1705",8,6,2,7,1,"barber","washer",0,4,3
"1706",3,1,2,2,1,"waiter","washr",0,3,0
"1707",4,2,2,4,0,"laborer","days work",0,2,1
"1708",3,1,2,3,0,"waiter $10m","1 washer 1 shirt & dressmaker",1,1,0
"1709",3,2,1,3,0,"laborer $7w","shirt maker",0,2,2
"1710",2,1,1,1,1,"barber","shirt maker & dress maker",0,2,2
"1711",6,3,3,2,4,"2 seaman 1 porter","washer",0,5,5
"1712",4,1,3,4,0,"waiter","washer",0,1,0
"1713",2,1,1,0,0,"waiter","washer",0,0,0
"1714",4,1,3,2,2,"porter","washer",0,2,2
"1715",5,2,3,3,2,"1 coachman $12m 1 boot maker","2 washers 1 dress maker",1,4,3
"1716",3,2,1,0,3,"1 silversmith 1 coachman","dress maker",0,2,2
"1717",7,4,3,6,1,"1 barber 1 not able","1 washer 1 dom. duties",0,5,4
"1719",4,1,3,2,2,"waiter $15m","sempstress",0,2,1
"1720",3,1,2,0,3,"poter $18m","1 dressm. 1 dom. duties",0,3,1
"1722",3,1,2,2,1,"clothes dealer","washer",0,2,2
"1723",2,1,1,1,1,"hod carrier & waiter","washer",0,2,2
"1724",5,3,2,3,2,"waiter $12m","washer when can get it",0,1,0
"1726",5,3,2,3,2,"porter","washer",0,4,1
"1728",5,2,3,3,2,"boot & shoem.","dressm. & tailoress",0,3,3
"1730",6,2,4,3,3,"clothes dealer","1 washer 1 not able",2,1,0
"1731",2,1,1,2,0,"hod carrier & wood sawyer","1 days work",0,0,0
"1734",3,2,1,1,2,"laborer $5w","dress maker",1,2,1
"1736",2,1,1,2,0,"waiter $10m","washer",0,2,1
"1737",5,1,4,1,4,"porter $3.50w","washer",1,2,0
"1739",7,2,5,6,1,"porter $20","washer",0,5,4
"1740",6,1,5,3,2,"bottler","1 dressm. 1 dom. duties",0,3,3
"1741",3,1,2,0,3,"cake seller","1 dressm. 1 cake baker",0,3,1
"1742",3,2,1,1,2,"packer","washer",0,1,1
"1743",6,1,5,3,3,"waiter $15m","dress maker",0,3,1
"1746",6,2,4,3,3,"white washer","2 washers",1,3,1
"1748",13,3,10,5,8,"barber","2 dressmakers 1 dom. duties",1,7,7
"1749",4,1,3,0,4,"shoemaker","days wotk",0,1,0
"1750",10,3,7,10,0,"laborer","days work when able",0,2,1
"1751",5,2,3,1,4,"waiter","2 washers",0,3,3
"1755",4,2,2,1,3,"2 wood sawyers","days work",0,2,1
"1756",8,4,4,4,4,"porter","2 washers",0,2,1
"1758",3,1,2,2,1,"clothes dealer","washer",0,2,2
"1759",5,2,3,2,3,"porter","2 washers",1,2,1
"1760",3,2,1,0,3,"carpenter","days work",2,3,1
"1761",5,1,4,4,1,"oyster house","assists husband",0,3,2
"1762",4,2,2,2,2,"confectioner","washer",0,3,1
"1763",2,1,1,0,2,"waiter","washer",0,2,0
"1764",4,2,2,3,1,"waiter $12m","dress maker",0,2,2
"1765",2,1,1,0,2,"waiter $12m","washer",0,2,2
"1766",3,1,2,1,2,"coachman","days work",0,2,2
"1767",3,1,2,1,2,"waiter $13m","days work",1,1,0
"1768",4,2,2,2,2,"drives dray $5w","dom. duties",0,2,0
"1769",3,2,11,2,1,"hod carrier","days work",0,2,1
"1770",8,3,5,5,3,"1 waiter $12m 1 not able","1 washer 1 sempstress",1,4,2
"1772",3,2,1,2,1,"porter $5w","days work",1,2,0
"1776",6,3,3,3,3,"porter","2 washers",0,1,0
"1777",4,3,12,3,1,"porter $5w","days work",0,1,0
"1779",3,2,1,2,1,"waiter","sempstress",0,1,0
"1781",7,3,4,4,3,"1 waiter 1 s. washer","2 washers",0,6,4
"1782",3,1,2,1,2,"coachman $14m","washer",0,2,1
"1783",3,12,0,1,2,"painter & glazier","dress maker",0,2,0
"1784",7,5,2,7,0,"tailor","dress maker",0,5,3
"1785",8,3,5,7,1,"waiter $10m","dress maker",0,6,2
"1786",4,3,1,1,3,"1 porter 1 makes saw handles 1 packing box m(?)","days work",0,4,2
"1787",6,4,2,4,2,"various","shop keeper",1,3,2
"1789",8,3,5,6,2,"2 cabinet makers","shop keeper",0,5,5
"1792",2,1,1,2,0,"school teacher $300:-y.","assists husband",0,2,2
"1794",6,3,3,1,5,"2 waiters 1 drives dray","2 washers",2,4,3
"1795",3,1,2,1,2,"laborer","washer",0,2,1
"1796",3,1,2,2,1,"shoem. ab. $7w.","shirt & dress makerr",0,2,2
"1798",2,1,1,1,1,"waiter & porter","not able",0,2,2
"1799",2,1,1,0,2,"various","not able",0,0,0
"1801",5,2,3,2,3,"2 laborers","shop keeper",0,2,2
"1802",5,3,2,5,0,"barber","dom. duties",0,4,3
"1803",8,4,4,3,5,"1 wood sawyer 1 lab.","2 washers",2,3,1
"1808",8,2,6,0,8,"barber","2 dom. duties",0,7,7
"1809",2,1,1,2,0,"brick moulder","cook",0,2,2
"1811",3,2,1,1,2,"various","washer",1,1,0
"1812",3,1,2,0,0,"not able","days work",0,2,2
"1813",5,2,3,1,4,"1 porter 1 laborer","days work",0,3,1
"1814",3,2,1,1,2,"hod carrier","washer",0,1,1
"1818",6,3,3,5,1,"waiter","washer",1,2,0
"1821",2,1,1,2,0,"waiter $13m","pastry cook",0,1,0
"1822",7,4,3,6,1,"1 various 1 not able","washer",0,6,5
"1825",3,2,1,1,2,"waiter","washer",0,2,1
"1828",9,5,4,5,4,"carter his own ","1 washer 1 not able",2,6,3
"1832",3,1,2,2,1,"porter $5w","days work",0,2,2
"1833",2,1,1,0,2,"waiter","washer",0,1,1
"1837",4,2,3,4,0,"hod carrier & waiter","washer",0,3,2
"1839",4,2,2,3,1,"porter","washer",0,4,3
"1841",4,2,2,1,1,"laborer","days work",0,1,0
"1844",6,2,4,4,3,"porter","washer 1 assist at home 1 waiter",1,2,1
"1847",4,2,2,2,2,"seaman","days work",0,1,0
"1850",3,1,2,1,2,"Stevedore ab.$250:-","days work",1,1,0
"1851",3,2,1,1,2,"waiter","washer",0,1,0
"1852",3,1,2,0,3,"hod carrier","dom. duties",0,1,0
"1854",3,1,2,2,1,"waiter","days work",0,1,0
"1857",8,5,3,4,4,"1 porter 1 waiter $10m","2 washers",2,4,4
"1860",7,3,4,4,3,"1 w. washer 1 musician","1 dressmaker 1 days work",0,3,0
"1861",5,4,1,4,1,"porter","washer",0,4,2
"1863",2,1,1,2,0,"laborer","washer",0,1,0
"1864",5,2,3,4,0,"laborer","washer & sempstress",0,3,3
"1865",7,2,5,1,6,"waiter"," 1 not able 2 days work ",4,0,0
"1868",5,3,2,3,2,"waiter $12m","dress maker",0,2,1
"1870",5,4,1,5,0,"waiter $10m","sempstress",0,2,2
"1871",2,1,1,0,2,"hod carrier","washer",0,1,1
"1873",6,3,3,6,0,"waiter","2 washer",0,5,5
"1875",4,13,2,3,1,"w. washer","days work",0,2,1
"1876",5,2,3,3,2,"porter","1 days work 1 dress maker",0,5,4
"1878",4,1,3,3,1,"waiter","2 washers",0,2,2
"1880",4,1,3,4,0,"waiter","days work when able",0,3,3
"1882",3,1,2,2,1,"wood sawyer","washer",0,3,1
"1883",5,3,2,1,4,"1 waiter 1 carpenter","2 dress makers",0,2,2
"1884",2,1,1,0,2,"porter","washer",2,1,0
"1885",8,3,5,7,1,"coachman $14m","1 dom. duties 1 no able",0,5,2
"1888",4,2,2,2,2,"porter $4w","washer",0,0,0
"1889",3,1,2,1,2,"porter $5w","days work",0,2,2
"1890",3,2,1,3,0,"porter","washer",0,1,0
"1893",5,3,2,3,2,"stevedore","washer",1,2,1
"1894",2,1,1,0,2,"hod carrier","washer",0,2,1
"1896",5,3,2,5,0,"waiter $12m ","dom. duties",0,2,2
"1897",5,3,2,4,1,"1 porter 1 waiter","2 days work",0,4,3
"1898",3,0,3,1,2,"1 days work 1 washet","1 at service",2,1,0
"1899",2,1,1,0,2,"hod carrier","days work",0,1,0
"1900",3,2,1,1,2,"hod carrier","dom. duties",0,1,0
"1902",3,2,1,3,0,"porter","sempstress",0,2,2
"1906",4,2,2,3,1,"varnisher when can get it","washer",0,2,0
"1909",5,2,3,2,3,"stove dealer","1 washer 1 cook $2.00w",0,3,2
"1910",4,2,2,1,2,"porter","days work",0,4,2
"1914",4,1,3,3,1,"1 stewart ","1 dressm. 1 dom. duties",0,4,3
"1915",7,3,4,5,2,"boot cleaner $35:-m","washer",0,6,4
"1917",2,1,1,2,0,"commission merchant","dom. duties",0,2,2
"1920",9,5,4,5,1,"carter-his own","washer",0,5,2
"1922",2,1,1,0,2,"stevedore when able","washer",0,1,0
"1924",7,3,4,6,1,"waiter $12m","washer",0,4,2
"1925",4,2,2,0,4,"1 porter $6w 1 bootmaker","washer",0,4,4
"1927",2,1,1,0,2,"porter $6w","washer",0,1,1
"1930",3,1,2,2,1,"barber","chambermaid",0,2,2
"1931",7,4,3,6,1,"shoemaker","1 washer 1 not able",0,5,2
"1932",5,2,3,4,1,"2 porters","washer",1,4,0
"1934",3,2,1,1,2,"seaman","1 at service",0,2,1
"1936",2,1,1,0,2,"waiter","washer",0,1,1
"1937",3,1,2,0,3,"grain carrier","sempstress",1,2,1
"1939",6,2,4,4,2,"waiter $10m","washer",0,5,3
"1941",4,2,2,3,1,"public waiter","sempstree and nurse",1,4,2
"1945",3,2,1,0,3,"1 wood sawyer 1 seaman","washer",1,3,2
"1947",5,3,2,2,3,"steward $22m","washer & dressmaker",0,3,3
"1948",2,1,1,1,1,"porter","days work",0,2,2
"1949",5,3,2,3,2,"coachman $11m","washer",0,3,2
"1951",5,2,3,2,3,"seaman","1 days work 1 w. washer",0,5,3
"1957",3,2,1,2,1,"not able","washer",1,2,1
"1958",2,1,1,0,2,"wood sawyer","days work",0,1,0
"1961",3,11,2,2,1,"drives cart","2 washer",0,2,1
"1962",2,1,1,1,1,"waiter","days work",1,1,1
"1963",7,2,5,4,3,"1 carter $5w 1 grocer","shop keeper",0,5,2
"1965",3,1,2,1,2,"waiter $12m","1 days work 1 dressmaker",0,2,2
"1967",4,2,2,2,2,"tailor","dom. duties",0,2,0
"1970",4,3,1,0,0,"clothes dealer","dom. duties",0,2,2
"1971",4,1,3,1,3,"clothes dealer","dom. duties",0,3,3
"1972",8,3,5,6,2,"cabinet maker","1 bar in theatre 1 domestic duties",0,8,6
"1973",6,3,3,3,3,"porter $20.00m","1 washer 1 not able",2,1,0
"1974",2,1,1,0,2,"porter $20.00m","dressmaker",1,1,0
"1975",2,1,1,0,2,"puts in coal","days work",1,2,0
"1977",10,5,5,4,6,"1 w. washer 1 barber","1 washer 1 shirtm. 1 dressm.",0,7,6
"1978",4,2,2,2,2,"shoemaker","1 school teacher 1 washer",0,4,4
"1980",4,2,2,3,1,"waiter $12m","washer",0,3,1
"1981",3,2,1,0,3,"1 stevedore 1 coachman $12m","washer",2,3,0
"1983",3,1,2,2,1,"stevedore","2 washers",0,1,1
"1984",5,2,3,0,5,"hod carrier","1 days work 1 not able",0,4,0
"1985",9,4,5,5,4,"cabinet maker","1 washer 1 cook",1,4,3
"1987",7,6,1,4,3,"sweep master","shop keeper",1,4,3
"1989",5,1,4,2,3,"white washer","1 dom. duties 1 dress maker",0,4,4
"1992",4,2,2,0,4,"1 public waiter 1 oysterman","2 washers",2,3,3
"1993",5,3,2,3,2,"waiter","washer",1,2,1
"1995",5,3,2,5,0,"waiter","washer",0,4,3
"1996",3,2,1,2,1,"barber","dom. duties",0,3,3
